input,status,error,joint,N,e,D,M,M_abs,reduction_factor,N_red,M_abs_red,txt,out,plot,arch_plot
klenba_2.in,OK,,0,93.286662,0.090902,0.14,1.9498778091239992,1.9498778091239992,0.9987128223547562,93.1665854940742,1.9473679699971378,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,1,92.735094,0.084532,0.14,1.347626386007999,1.347626386007999,0.9987128223547562,92.61572746007363,1.345891751449789,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,2,92.21561,0.076394,0.14,0.5896266103399997,0.5896266103399997,0.9987128223547562,92.09691212826549,0.5888676561481292,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,3,91.299565,0.067453,0.14,-0.2325399920550007,0.2325399920550007,0.9987128223547562,91.18204624091152,0.23224067177560234,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,4,90.2831,0.059982,0.14,-0.9044560958000006,0.9044560958000006,0.9987128223547562,90.1668896119367,0.9032919001323824,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,5,89.406555,0.054063,0.14,-1.4248722670350005,1.4248722670350005,0.9987128223547562,89.29147288106574,1.423038203305545,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,6,88.666009,0.04975,0.14,-1.7954866822500004,1.7954866822500004,0.9987128223547562,88.55188009532222,1.7931755719302753,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,7,88.057384,0.047085,0.14,-2.0178349543600005,2.0178349543600005,0.9987128223547562,87.94403850381656,2.0152376423149567,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,8,87.577383,0.046093,0.14,-2.0937124953810002,2.0937124953810002,0.9987128223547562,87.46465535037345,2.0910175154613784,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,9,87.222928,0.04679,0.14,-2.0244441588800006,2.0244441588800006,0.9987128223547562,87.1106565969257,2.021838339614646,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,10,86.99165,0.049176,0.14,-1.8115141196000009,1.8115141196000009,0.9987128223547562,86.87967629279714,1.8091823791212083,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,11,86.881595,0.05324,0.14,-1.4561355322000005,1.4561355322000005,0.9987128223547562,86.76976295313288,1.4542612270945074,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,12,86.891436,0.058961,0.14,-0.9591945620040007,0.9591945620040007,0.9987128223547562,86.77959128601766,0.9579599082063497,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,13,87.020536,0.066306,0.14,-0.3214538599840003,0.3214538599840003,0.9987128223547562,86.90852511138368,0.32104009176145154,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,14,87.25481,0.07521,0.14,0.45459756009999935,0.45459756009999935,0.9987128223547562,87.14249755912802,0.4540124122830563,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,15,87.436936,0.083297,0.14,1.162648937991999,1.162648937991999,0.9987128223547562,87.32438913061219,1.1611524022697495,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,16,87.599471,0.089049,0.14,1.6686823230789996,1.6686823230789996,0.9987128223547562,87.48671491919362,1.6665344324957188,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,17,87.745122,0.092514,0.14,1.9754936767079991,1.9754936767079991,0.9987128223547562,87.6321784404824,1.9729508654090202,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,18,87.877809,0.093749,0.14,2.0870100859409995,2.0870100859409995,0.9987128223547562,87.76469464874219,2.084323733212978,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,19,88.002012,0.09282,0.14,2.008205913839999,2.008205913839999,0.9987128223547562,87.88873777741712,2.005620996080658,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,20,88.123406,0.089804,0.14,1.745195932423999,1.745195932423999,0.9987128223547562,88.00997552177407,1.7429495552332124,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,21,88.248137,0.084786,0.14,1.3048369536819995,1.3048369536819995,0.9987128223547562,88.13454597081919,1.303157396724532,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,22,88.383274,0.077865,0.14,0.6951344500099997,0.6951344500099997,0.9987128223547562,88.26950902549375,0.694239688485508,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,23,88.536444,0.069146,0.14,-0.07561012317600067,0.07561012317600067,0.9987128223547562,88.42248186849382,0.0755127995156944,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,24,88.71576,0.05875,0.14,-0.9980523000000009,0.9980523000000009,0.9987128223547562,88.60156705694719,0.9967676293906568,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_2.in,OK,,25,88.929858,0.046805,0.14,-2.0627280563100006,2.0627280563100006,0.9987128223547562,88.8153894747877,2.060072958867701,..\klenba_batch_outputs\klenba_2.txt,..\klenba_batch_outputs\klenba_2.out,..\klenba_batch_outputs\klenba_2_interaction.png,..\klenba_batch_outputs\klenba_2_arch.png
klenba_3.in,OK,,0,93.700908,0.081598,0.14,1.0867431309839997,1.0867431309839997,0.9988734363018548,93.59534795856395,1.0855188456234244,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,1,93.196218,0.077909,0.14,0.7370888881619999,0.7370888881619999,0.9988734363018548,93.09122652399677,0.7362585105782904,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,2,92.72385,0.072498,0.14,0.2316241773,0.2316241773,0.9988734363018548,92.61939067663774,0.23136323791024108,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,3,91.934733,0.066118,0.14,-0.3568906335060009,0.3568906335060009,0.9988734363018548,91.83116266720351,0.356488573474085,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,4,91.067228,0.060597,0.14,-0.8563051448840008,0.8563051448840008,0.9988734363018548,90.96463496684449,0.8553404625932395,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,5,90.315351,0.055971,0.14,-1.2670340591790008,1.2670340591790008,0.9988734363018548,90.21360500417816,1.2656066646036161,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,6,89.674039,0.052248,0.14,-1.5918935403280001,1.5918935403280001,0.9988734363018548,89.57301548299654,1.5901001708541547,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,7,89.139254,0.049432,0.14,-1.8334161762720007,1.8334161762720007,0.9988734363018548,89.03883295236385,1.8313507161642204,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,8,88.707119,0.047522,0.14,-1.9939586208820006,1.9939586208820006,0.9988734363018548,88.60718477996755,1.9917122994841112,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,9,88.374509,0.046513,0.14,-2.0756520928830007,2.0756520928830007,0.9988734363018548,88.27494948631919,2.0733137385851794,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
